Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"AL-MUNà, Mr Farīd Husayn Qāsim",1893,1912,19,Male,3rd Class Passenger,2700,£7             4s             7d,,Cherbourg,Farmer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/fared-kassem-houssein.html
"AL-ZA'INNī, Mr Fahīm Rūḥānā",1886,1927,25,Male,3rd Class Passenger,2620,£7             4s             6d,,Cherbourg,General Labourer,SAVED,6,,"Syrian,American",https://www.encyclopedia-titanica.org/titanic-survivor/fahim-philip-zenni-leeni.html
"ALDWORTH, Mr Augustus Henry",1877,1912,35,Male,2nd Class Passenger Servant,248744,£13.00,,Southampton,Chauffeur,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/augustus-aldworth.html
"ALEXANDER, Mr William Albert",1887,1912,24,Male,3rd Class Passenger,3474,£7             17s             9d,,Southampton,General Labourer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-alexander.html
"ALHOMäKI, Mr Ilmari Rudolf",1893,1912,19,Male,3rd Class Passenger,3101287,£7             18s             6d,,Southampton,General Labourer,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/ilmari-rudolf-alhomaki.html
"ALI, Mr William",1887,1912,25,Male,3rd Class Passenger,3101312,£7             1s,,Southampton,General Labourer,LOST,,79,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/william-ali.html
"ALLARIA, Sig. Battista Antonio",1889,1912,22,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,221,Italian,https://www.encyclopedia-titanica.org/titanic-victim/battista-antonio-allaria.html
"ALLEN, Miss Elisabeth Walton",1882,1967,29,Female,1st Class Passenger,24160,£211             6s             9d,B5,Southampton,,SAVED,2,,American,https://www.encyclopedia-titanica.org/titanic-survivor/elisabeth-walton-allen.html
"ALLEN, Mr Ernest Frederick",1888,1968,24,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ernest-frederick-allen.html
"ALLEN, Mr George",1886,1912,26,Male,Victualling Crew,,,,Southampton,Scullion,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-allen.html
